Year	Month	Tmax	Tmin	PAR	Prec	CO2	O3
1200-1949	1	-2.48999999999995	-13.34	436.01	81.75	390	0
1200-1949	2	-0.599999999999966	-12.14	559.47	70.58	390	0
1200-1949	3	4.71000000000004	-6.08999999999997	678.58	158.99	390	0
1200-1949	4	12.52	0.550000000000011	699.21	145.76	390	0
1200-1949	5	17.73	6.06	696.59	114.77	390	0
1200-1949	6	22.18	10.16	807	56.51	390	0
1200-1949	7	24.09	12.44	783.84	86.78	390	0
1200-1949	8	23.59	11.04	820.75	96.06	390	0
1200-1949	9	21.72	9.59000000000003	678.16	162.77	390	0
1200-1949	10	15.27	4.18000000000001	485.1	162.13	390	0
1200-1949	11	9.26000000000005	-1.32999999999998	463.16	57.5	390	0
1200-1949	12	-0.799999999999955	-10.53	357.58	72.68	390	0
1950	1	-2.49	-13.34	436.01	81.75	390	0
1950	2	-0.6	-12.14	559.47	70.58	390	0
1950	3	4.71	-6.09	678.58	158.99	390	0
1950	4	12.52	0.55	699.21	145.76	390	0
1950	5	17.73	6.06	696.59	114.77	390	0
1950	6	22.18	10.16	807	56.51	390	0
1950	7	24.09	12.44	783.84	86.78	390	0
1950	8	23.59	11.04	820.75	96.06	390	0
1950	9	21.72	9.59	678.16	162.77	390	0
1950	10	15.27	4.18	485.1	162.13	390	0
1950	11	9.26	-1.33	463.16	57.5	390	0
1950	12	-0.8	-10.53	357.58	72.68	390	0
1951	1	-0.77	-10.22	373.78	131.42	390	0
1951	2	0.01	-10.2	408.57	176.75	390	0
1951	3	4.74	-4.66	605.62	127.43	390	0
1951	4	12.99	0.48	797.15	51.27	390	0
1951	5	17.62	6.27	704.53	97.94	390	0
1951	6	23.1	11.07	763.52	74.49	390	0
1951	7	24.2	11.61	851.54	75	390	0
1951	8	23.26	11.54	753.99	188.23	390	0
1951	9	20.67	8.41	670.57	81.99	390	0
1951	10	15.78	4	515.95	129.39	390	0
1951	11	4.66	-5.12	475.2	80.79	390	0
1951	12	1.38	-8.99	390.37	111.7	390	0
1952	1	0.8	-10.5	383.91	112.83	390	0
1952	2	1.06	-10.76	546.04	46.96	390	0
1952	3	5.09	-5.8	727.74	76.59	390	0
1952	4	10.2	-1.05	684.22	137.19	390	0
1952	5	20.27	7.5	663.47	142.35	390	0
1952	6	21.39	9.94	734.24	181.64	390	0
1952	7	23.32	11.85	753.68	149.51	390	0
1952	8	24.23	12.49	764.61	155.3	390	0
1952	9	19.19	7.84	678.92	100.38	390	0
1952	10	12.43	1.21	565.01	134.56	390	0
1952	11	3.44	-6.02	432.05	112.35	390	0
1952	12	-1.62	-11.41	374.78	45.17	390	0
1953	1	-0.79	-12.82	401.53	180.64	390	0
1953	2	-4.33	-16.77	518.09	52.87	390	0
1953	3	3.72	-6.35	656.19	143.35	390	0
1953	4	12.24	0.37	738.66	83.55	390	0
1953	5	18.09	5.32	735.03	151.01	390	0
1953	6	24.86	12.67	774.69	95.62	390	0
1953	7	25.7	13.18	838.08	92.25	390	0
1953	8	25.5	12.24	847.34	27.98	390	0
1953	9	19.63	6.57	712.76	166	390	0
1953	10	14.99	3.87	503.88	131.44	390	0
1953	11	5.17	-4.05	423.22	114.59	390	0
1953	12	-1.2	-10.63	378.43	89.98	390	0
1954	1	-2.6	-13.06	384.67	52.31	390	0
1954	2	-1.12	-11.92	525.21	30.29	390	0
1954	3	4.95	-6.4	670.82	101.82	390	0
1954	4	11.81	-0.08	736.2	137.33	390	0
1954	5	18.23	5.41	770.9	113.02	390	0
1954	6	21.93	9.94	770.34	162.85	390	0
1954	7	25.18	13.3	802.57	118.4	390	0
1954	8	24.5	12.63	769	132.28	390	0
1954	9	18.72	6.81	692.13	81.6	390	0
1954	10	12.89	1.19	532.67	71.13	390	0
1954	11	4.09	-4.9	446.59	106.52	390	0
1954	12	2.52	-6.96	351.84	161.09	390	0
1955	1	-2.34	-12.97	426.23	112.8	390	0
1955	2	1.02	-10.35	569.33	41.56	390	0
1955	3	5.12	-4.67	687.51	146.73	390	0
1955	4	13	1.42	697.9	90.88	390	0
1955	5	20.65	7.39	735.4	90.01	390	0
1955	6	22.42	10.35	798.01	79.81	390	0
1955	7	25.66	14.6	713.65	158.3	390	0
1955	8	23.12	11.87	734.73	141.6	390	0
1955	9	17.87	6.71	659.04	146.01	390	0
1955	10	15.18	2.51	581.63	94.21	390	0
1955	11	5.55	-3.44	422.56	111.97	390	0
1955	12	-0.15	-9.67	431.37	90.06	390	0
1956	1	-2.24	-13.07	407.91	106.44	390	0
1956	2	1.2	-10.75	485.47	75.39	390	0
1956	3	6.85	-3.88	620.74	119.44	390	0
1956	4	12.81	0.54	761.53	86.5	390	0
1956	5	18.51	5.73	797.81	92.07	390	0
1956	6	22.88	10.75	790.18	92.25	390	0
1956	7	26.52	13.41	872.35	51.82	390	0
1956	8	26.17	14.38	749.79	130.92	390	0
1956	9	20.55	7.74	721.71	52.73	390	0
1956	10	14.93	2.55	590.84	88.27	390	0
1956	11	7.42	-2.07	436.83	100.82	390	0
1956	12	1.4	-7.69	368.67	95.7	390	0
1957	1	-2.4	-13.62	444.74	60.72	390	0
1957	2	-0.94	-13.57	574.83	35.39	390	0
1957	3	4.87	-5.89	704.51	64.21	390	0
1957	4	13.11	0.15	789.38	102.77	390	0
1957	5	15.82	3.99	753.2	105.02	390	0
1957	6	21.67	10.57	722.6	158.15	390	0
1957	7	26.89	14.19	816.95	72.68	390	0
1957	8	26.35	13.24	838.21	48.55	390	0
1957	9	23.65	9.99	713.01	63.88	390	0
1957	10	16.72	4.5	531.03	110.07	390	0
1957	11	10.23	-1.17	464.06	28.12	390	0
1957	12	1.46	-9.45	336.96	130.8	390	0
1958	1	0.59	-9.49	331.22	93.61	390	0
1958	2	-1.54	-12.96	540.72	21.71	390	0
1958	3	4.02	-6.74	685.38	94.63	390	0
1958	4	15.17	2.68	679.64	80.24	390	0
1958	5	17.73	5.6	746.72	118.97	390	0
1958	6	22.36	10.44	760.22	138.98	390	0
1958	7	26.97	14.21	819.63	114.54	390	0
1958	8	24.04	12.29	765.72	80.89	390	0
1958	9	21.46	9.03	686.55	95.57	390	0
1958	10	15.44	3.64	527.67	107.41	390	0
1958	11	9.68	-0.5	415.78	64.79	390	0
1958	12	2.67	-6.96	343.87	168.95	390	0
1959	1	0.99	-9.86	425.29	133.01	390	0
1959	2	1.98	-8.96	570.79	70.93	390	0
1959	3	5.64	-5.19	652.48	110.57	390	0
1959	4	10.76	-0.2	730.11	137.68	390	0
1959	5	16.92	5.24	724.38	55.04	390	0
1959	6	21.49	9.85	784.22	73.88	390	0
1959	7	25.13	13.81	749.75	215.58	390	0
1959	8	24.36	11.81	820.82	76.47	390	0
1959	9	19.62	6.03	777.98	28.59	390	0
1959	10	13.95	2.21	526.36	108.6	390	0
1959	11	8.41	-2.18	450.55	112.17	390	0
1959	12	-1.66	-11.15	376.02	111.28	390	0
1960	1	-2.58	-13.99	455.66	33.99	390	0
1960	2	-1.63	-12.75	517.72	84.9	390	0
1960	3	6.88	-4.18	631.88	104.32	390	0
1960	4	11.67	0.21	735.08	171.02	390	0
1960	5	15.51	5.04	681.97	137.62	390	0
1960	6	24.6	12.11	786.95	89.48	390	0
1960	7	27.14	13.43	901.66	63.51	390	0
1960	8	25.13	13.76	729	90.74	390	0
1960	9	21.14	8.38	698.76	107.76	390	0
1960	10	11.78	0.17	578.38	91.1	390	0
1960	11	5.68	-3.52	421.04	142.03	390	0
1960	12	0.3	-9.78	333.57	116.98	390	0
1961	1	-1.37	-12.22	374.13	96.28	390	0
1961	2	0.45	-9.51	419.59	123.04	390	0
1961	3	4	-6.25	661.39	170.07	390	0
1961	4	12.64	0.42	758.87	102.41	390	0
1961	5	17.93	5.76	649.6	215.62	390	0
1961	6	22.49	10.83	779.03	66.99	390	0
1961	7	25.58	13.72	774.37	131.1	390	0
1961	8	26.6	14.02	808.71	39.63	390	0
1961	9	18.13	7.21	662.66	81.26	390	0
1961	10	13.35	3.49	459.37	199.54	390	0
1961	11	6.16	-3.36	443	143.51	390	0
1961	12	-0.24	-10.49	360	74.53	390	0
1962	1	-1.14	-11.26	434.58	26.67	390	0
1962	2	0.96	-10.22	569.67	95.14	390	0
1962	3	6.85	-3.29	632.93	158.35	390	0
1962	4	14.06	1.74	774.96	89.79	390	0
1962	5	19.43	5.33	832.39	76.57	390	0
1962	6	22.62	11.22	738.68	87.78	390	0
1962	7	26.06	13.78	837.55	62.09	390	0
1962	8	23.39	11.4	767.18	138.84	390	0
1962	9	18.57	6.7	696.09	119.99	390	0
1962	10	12.04	0.57	596.4	48.48	390	0
1962	11	6.45	-3.04	397.46	121.92	390	0
1962	12	1.17	-7.53	302.89	95.02	390	0
1963	1	-3.74	-16.26	371.25	137.03	390	0
1963	2	2.67	-8.65	475.54	115.59	390	0
1963	3	5.04	-6.2	673.73	161.35	390	0
1963	4	11.21	-0.42	729.36	113.38	390	0
1963	5	18.92	6.37	735.69	101.69	390	0
1963	6	23.69	11.73	753.92	148.71	390	0
1963	7	24.16	11.42	867.78	22.74	390	0
1963	8	25.11	12.1	800.37	45.75	390	0
1963	9	19.84	6.82	712.89	114.03	390	0
1963	10	10.94	1.08	481.88	108.47	390	0
1963	11	7.22	-2.21	407.63	117.39	390	0
1963	12	1.4	-8.54	338.8	162.8	390	0
1964	1	-4.23	-16.18	395.48	131.71	390	0
1964	2	-3.52	-16.74	565.39	55.19	390	0
1964	3	5.86	-5.07	671.99	64.29	390	0
1964	4	9.46	-1.12	749.9	70.4	390	0
1964	5	20.13	6.13	801.29	60.25	390	0
1964	6	23.24	11.67	789.14	47.32	390	0
1964	7	24.82	13.2	785.78	78.02	390	0
1964	8	25.02	12.04	820.06	64.29	390	0
1964	9	18.69	6.96	677.6	92.36	390	0
1964	10	13.05	1.05	609.93	24.97	390	0
1964	11	7.47	-2.81	423.02	173.9	390	0
1964	12	2.77	-5.69	343.63	140.15	390	0
1965	1	-1.71	-10.99	387.08	85	390	0
1965	2	-1.98	-14.71	518.14	206.86	390	0
1965	3	3.96	-7.53	683.01	65.52	390	0
1965	4	9.22	-0.66	646.38	173.08	390	0
1965	5	22.56	7.67	854.84	67.5	390	0
1965	6	24.63	12.1	809.95	84.02	390	0
1965	7	25.96	13.56	821.78	90.1	390	0
1965	8	24.38	12.4	772.85	165.95	390	0
1965	9	21.91	8.91	693.77	141.01	390	0
1965	10	15.81	2.78	603.56	86.62	390	0
1965	11	8.29	-1.92	448.13	104.16	390	0
1965	12	3.36	-6.79	367.77	60.97	390	0
1966	1	-1.46	-13.04	457.96	43.24	390	0
1966	2	3.88	-7.96	528.76	69.12	390	0
1966	3	4.14	-7.96	692.06	77.45	390	0
